test,nact,before
90.14,80.0,10.87
89.68,80.0,10.87
90.11,80.0,10.87
64.1,64.0,9.65
71.91,64.0,9.65
74.11,64.0,9.65
75.95,64.0,9.65
78.72,64.0,9.65
79.81,64.0,9.65
80.89,64.0,9.65
80.82,64.0,9.65
81.68,64.0,9.65
83.02,64.0,9.65
83.01,64.0,9.65
84.35,64.0,9.65
84.49,64.0,9.65
84.55,64.0,9.65
84.67,64.0,9.65
85.06,64.0,9.65
85.41,64.0,9.65
85.43,64.0,9.65
85.68,64.0,9.65
86.57,64.0,9.65
86.18,64.0,9.65
86.5,64.0,9.65
86.57,64.0,9.65
86.36,64.0,9.65
86.72,64.0,9.65
86.51,64.0,9.65
86.74,64.0,9.65
87.0,64.0,9.65
86.66,64.0,9.65
86.62,64.0,9.65
87.08,64.0,9.65
87.08,64.0,9.65
87.45,64.0,9.65
86.92,64.0,9.65
87.16,64.0,9.65
88.2,64.0,9.65
87.82,64.0,9.65
87.57,64.0,9.65
87.84,64.0,9.65
87.5,64.0,9.65
88.18,64.0,9.65
88.15,64.0,9.65
87.81,64.0,9.65
88.25,64.0,9.65
87.77,64.0,9.65
87.61,64.0,9.65
88.1,64.0,9.65
88.32,64.0,9.65
87.98,64.0,9.65
87.79,64.0,9.65
88.26,64.0,9.65
88.06,64.0,9.65
88.54,64.0,9.65
88.25,64.0,9.65
88.39,64.0,9.65
88.47,64.0,9.65
88.3,64.0,9.65
88.26,64.0,9.65
88.54,64.0,9.65
88.38,64.0,9.65
89.16,64.0,9.65
88.83,64.0,9.65
88.65,64.0,9.65
88.54,64.0,9.65
88.53,64.0,9.65
88.79,64.0,9.65
88.68,64.0,9.65
88.8,64.0,9.65
88.26,64.0,9.65
88.73,64.0,9.65
88.53,64.0,9.65
88.95,64.0,9.65
88.73,64.0,9.65
88.67,64.0,9.65
88.6,64.0,9.65
88.53,64.0,9.65
88.61,64.0,9.65
88.59,64.0,9.65
88.37,64.0,9.65
88.75,64.0,9.65
88.82,64.0,9.65
88.74,64.0,9.65
88.76,64.0,9.65
88.86,64.0,9.65
88.51,64.0,9.65
88.74,64.0,9.65
88.6,64.0,9.65
89.25,64.0,9.65
88.92,64.0,9.65
88.66,64.0,9.65
88.39,64.0,9.65
88.74,64.0,9.65
88.73,64.0,9.65
88.49,64.0,9.65
88.59,64.0,9.65
88.97,64.0,9.65
88.66,64.0,9.65
88.58,64.0,9.65
88.72,64.0,9.65
89.08,64.0,9.65
88.52,64.0,9.65
89.15,64.0,9.65
89.19,64.0,9.65
89.62,64.0,9.65
89.28,64.0,9.65
88.82,64.0,9.65
89.06,64.0,9.65
88.95,64.0,9.65
89.26,64.0,9.65
89.09,64.0,9.65
89.32,64.0,9.65
89.16,64.0,9.65
89.13,64.0,9.65
88.97,64.0,9.65
88.98,64.0,9.65
88.92,64.0,9.65
89.0,64.0,9.65
89.29,64.0,9.65
89.31,64.0,9.65
89.34,64.0,9.65
89.58,64.0,9.65
89.26,64.0,9.65
89.55,64.0,9.65
89.16,64.0,9.65
89.4,64.0,9.65
89.35,64.0,9.65
89.3,64.0,9.65
89.33,64.0,9.65
89.11,64.0,9.65
89.56,64.0,9.65
89.08,64.0,9.65
89.11,64.0,9.65
89.58,64.0,9.65
89.41,64.0,9.65
89.28,64.0,9.65
89.39,64.0,9.65
89.17,64.0,9.65
89.62,64.0,9.65
89.19,64.0,9.65
89.38,64.0,9.65
89.52,64.0,9.65
89.36,64.0,9.65
89.27,64.0,9.65
89.39,64.0,9.65
89.34,64.0,9.65
89.54,64.0,9.65
89.62,64.0,9.65
89.37,64.0,9.65
89.37,64.0,9.65
89.57,64.0,9.65
89.79,64.0,9.65
89.14,64.0,9.65
89.32,64.0,9.65
89.74,64.0,9.65
89.6,64.0,9.65
89.68,64.0,9.65
89.47,64.0,9.65
89.87,64.0,9.65
89.86,64.0,9.65
89.57,64.0,9.65
89.96,64.0,9.65
